voornaam;achternaam;team
Jan;Jansen;Haven College
Maria;de Vries;Vrije School De Zonsopgang
Pieter;Bakker;St. Jans College
Anna;Visser;Albert Einstein Lyceum
Mark;Huisman;Toekomst College
Eva;de Boer;Haven College
Tom;van den Berg;Vrije School De Zonsopgang
Emma;Janssen;Verenigde College
Lucas;Smit;Haven College
Sophie;de Groot;Albert Einstein Lyceum
Daan;Meyer;St. Jans College
Lisa;Koster;Verenigde College
Bram;van Dijk;Toekomst College
Noor;Hofman;Vrije School De Zonsopgang
Koen;Wolters;Haven College
Sarah;Vermeer;St. Jans College
Max;Peeters;Verenigde College
Lotte;Bosch;Haven College
Joris;Schipper;Albert Einstein Lyceum
Mila;Veldman;Toekomst College
Lars;Fischer;Vrije School De Zonsopgang
Fleur;Mulder;St. Jans College
Thijs;Peters;Toekomst College
Zoë;Meijer;Haven College
Ruben;Kool;Vrije School De Zonsopgang
Julia;Koning;St. Jans College
Jelle;Van Dam;Albert Einstein Lyceum
Roos;Hendriks;Vrije School De Zonsopgang
Wout;Vries;Toekomst College
Lise;Weber;Haven College
Sebastiaan;de Lange;St. Jans College
Noor;Jong;Vrije School De Zonsopgang
Tim;Brouwer;Albert Einstein Lyceum
Liv;Lammers;Verenigde College
Jens;Postma;Toekomst College
Noor;van Leeuwen;Vrije School De Zonsopgang
Luuk;Vermeulen;Verenigde College
Tessa;Schoenmakers;Haven College
Bo;Timmermans;Vrije School De Zonsopgang
Marijn;Van der Meer;St. Jans College
Niels;van der Linden;Toekomst College
Tijn;De Wit;Haven College
Charlotte;Bouwman;Verenigde College
Hugo;de Boer;St. Jans College
Eva;van der Wal;Vrije School De Zonsopgang
Kees;Bakker;Albert Einstein Lyceum
Liz;Jansen;Haven College
Mats;Stevens;Toekomst College
Sander;Van der Veen;Vrije School De Zonsopgang
Timo;Huisman;St. Jans College
Yoichi;Isagi;St. Jans College
Seishiro;Nagi;Verenigde College
Rensuke;Kunigami;Haven College
Sae;Itoshi;Albert Einstein Lyceum
Tigo;Groen;St. Jans College
s;s;s
